101,Alcohol suspected
102,Alcohol test below limit
103,Alcohol test above limit or test refused
105,"Impaired non-driver (pedestrian /cyclist/passenger, etc)."
100,Other - alcohol
108,Drugs suspected
109,Drugs present
221,"Impaired non-driver (pedestrian /cyclist/passenger, etc)."
220,Other drugs
381,Another vehicle
383,Pedestrian
385,Size or position of fixed object or obstacle.
386,Own vehicle
387,Misjudged intentions of another party
380,"Other - misjudged speed, distance, size or position"
501,Sudden illness
504,Medical illness
505,Mental illness
506,Attempted suicide
500,Other illness
502,Physical impairment
503,Defective vision
507,Impaired ability due to old age.
508,Other disability
521,Intentionally leaving/boarding moving vehicle
523,Riding in insecure position.
524,Interfered with driver.
525,Opened door inadvertently
527,Child playing in parked vehicle
520,"Other - driver or passenger boarding, leaving or in vehicle"
531,Casualty drowned
532,Casualty thrown from vehicle
535,Electrocution
536,Unsecured child seat
537,Child restrained failure/inappropriate
672,Seatbelt failed/defective
673,Air bag failed/defective
530,Other - reasons for death/injury
111,Entering /on curve
112,On straight
113,Approaching a traffic control
115,When passing school bus.
116,At temporary speed limit
117,At crash or emergency
118,For road conditions
119,For weather conditions
182,Travelling unreasonably slowly
110,Other inappropriate speed conditions
121,Swung wide on bend
122,Swung wide at intersection
123,Cutting corner on bend
124,Cutting corner at intersection
125,Too far right
126,Vehicle crossed flush median
129,Too far left
120,Other position on road
131,Lost control when turning
132,Lost control under braking
133,Lost control under acceleration
134,Lost control while returning to seal from unsealed shoulder
135,Lost control - road conditions
136,Lost control - vehicle fault
137,Lost control avoiding another party
130,Other lost control
141,Failed to signal in time
145,Incorrect signal
140,Other failed to signal
151,Overtaking line of traffic or queue
152,Overtaking in the face of oncoming traffic
156,With insufficient visibility
157,Overtaking at an intersection
158,On left without due care
159,Cut in after overtaking
160,Vehicle signalling turn
150,Other overtaking
171,Turned from incorrect lane
173,Travelled straight from turning lane or flush median
174,Turned from incorrect position on road
176,Turned into incorrect lane
177,Weaving or cut in on multi-lane roads
179,Long vehicle tracked outside lane
184,Incorrect merging / diverging
170,Other wrong lane or position
183,Motorist crowded cyclist
181,Following too closely
180,Other - too close
191,Suddenly braked
192,Suddenly turned left/right
194,Swerved to avoid pedestrian
195,Swerved to avoid animal
196,Swerved to avoid crash or broken down vehicle
197,Swerved to avoid vehicle
199,Swerved avoiding emergency vehicle
190,Other sudden action
201,Wrong way on road/ motorway
202,Non-compliance with regulatory device with sign or marking
204,Driving / riding in pedestrian space
208,Motor vehicle in special purpose lane
200,Other - forbidden movements
321,At Stop sign
322,At full red traffic signal
324,At amber traffic signal
326,"At flashing red signals (railway crossing, fire stations,etc.)."
327,For traffic controller
328,For school patrol/kea crossing
320,Other - did not stop
301,At a priority traffic control
303,When turning to non-turning traffic.
304,When priority defined by road markings
306,To a pedestrian
308,When entering roadway from driveway
309,To traffic approaching or crossing from the right
312,Entering roadway not from driveway or intersection.
313,Failed to give way to emergency vehicle
314,Driver waved through
315,When turning right to opposing left turning traffic
316,To traffic approaching or crossing from the left
300,Other - failed to give way
351,Passengers
354,Animal or insect in vehicle
357,Emotionally upset / road rage
359,Cell phone
361,Navigation device
364,Vehicle console inbuilt features: radio/heater/etc.
365,Objects under driver’s pedals
366,"Food, cigarettes, beverages"
362,Non cell communication device
352,Scenery or persons outside vehicle
353,Other traffic
355,"Trying to find intersection, house number, destination, etc."
356,Advertising or signs.
363,Driver dazzled
350,Other - attention diverted by (inside or outside vehicle)
331,"Vehicle slowing, stopping or stationary in front"
332,Bend in road
333,Indication of vehicle in front
334,Failed to notice control
336,Failed to notice signs
339,Failed to notice road works
340,Failed to notice markings
341,Obstructions on roadway
534,Another party wearing dark clothing
330,Other - inattentive
371,Did not check/notice another party behind
375,Did not check/notice another party
377,When visibility obstructed by other traffic.
370,Other - did not see or look
401,In driving in fast complex or heavy traffic
402,New driver/ under instruction
403,Driving unfamiliar with vehicle/towing
404,Overseas / migrant driver fails to adjust to NZ road rules and road conditions
407,Driver over-reacted
400,Other lack of experience
411,Long trip
412,Lack of sleep
414,Long day (working/recreation)
415,Exceeded driving hours
410,Other fatigue
421,Started in gear / stalled
423,Wrong pedal / foot slipped
426,Lights not switched on
428,Parking brake not fully applied.
429,Trailer coupling or safety chain not secured.
420,Other vehicle controls
441,Parked vehicle is not visible
443,Incorrectly parked vehicle
447,Not clear of rail Xing
440,Other parking
